brand,processor,ram(GB),ssd(GB),hdd(GB),os,gpu,screen_size(inches),resolution(pixels),no_of_cores,no_of_threads,spec_score,price
9,16,16,512,0,4,46,15.6,7,8,12,69,81990
9,11,8,512,0,4,134,14.0,3,4,8,56,51990
14,18,16,1000,0,4,69,15.6,16,14,20,86,141990
6,16,16,512,0,4,134,15.6,7,10,12,62,65990
9,55,16,512,0,4,51,16.1,7,8,16,69,115903
15,16,8,512,0,4,121,15.6,7,10,12,61,55490
14,18,16,1000,0,4,69,16.0,16,14,20,84,164990
3,41,16,512,0,4,46,15.6,7,6,12,69,98500
14,73,4,256,0,4,123,15.6,7,2,2,51,21999
6,16,16,512,0,4,123,13.3,16,12,16,66,76490
3,52,16,512,0,4,69,15.6,7,8,16,75,89990
14,71,8,0,1000,4,96,14.0,7,2,2,44,22999
3,15,8,256,0,4,122,14.0,7,10,12,60,38990
14,40,8,512,0,4,96,15.6,7,6,12,55,46990
14,11,8,512,0,4,123,15.6,7,4,8,56,48999
14,11,16,512,0,4,46,15.6,7,4,8,71,68989
15,11,8,512,0,4,44,15.6,7,6,12,72,55990
15,16,16,512,0,4,49,15.6,7,8,12,76,77990
15,16,8,512,0,4,114,15.6,7,12,16,60,54990
14,18,16,512,0,4,69,16.0,8,14,20,79,105990
14,108,16,512,0,4,96,15.6,7,8,16,68,64990
15,20,16,1000,0,4,69,15.6,15,14,20,75,135000
5,75,4,128,0,4,112,14.1,3,2,2,42,15990
15,18,16,1000,0,4,69,15.6,7,14,20,85,134000
14,10,8,256,0,4,140,15.6,7,2,4,49,33990
15,98,8,512,0,4,99,14.0,7,6,12,59,44290
9,18,16,512,0,4,129,13.3,20,10,12,68,102123
3,18,16,1000,0,4,49,14.5,20,14,20,81,159990
6,36,8,256,0,4,93,14.0,7,4,8,59,38663
14,11,8,512,0,4,130,15.6,7,4,8,59,55490
6,36,8,512,0,4,93,14.0,7,4,8,61,38990
1,11,8,512,0,4,121,15.6,7,4,8,59,40990
9,16,8,512,0,4,132,15.6,7,10,12,59,59490
14,75,8,256,0,4,123,15.6,3,2,2,49,28980
3,15,8,256,0,4,132,15.6,7,10,12,51,40990
9,34,8,256,0,4,99,15.6,3,2,4,55,29990
15,12,8,512,0,4,46,15.6,7,8,16,69,65590
3,115,16,512,0,4,40,15.6,7,8,16,68,64990
14,40,8,512,0,4,91,15.6,7,6,12,65,48990
14,109,8,512,0,4,46,15.6,7,8,16,67,77850
14,10,8,512,0,4,123,14.0,7,2,4,50,37990
6,11,8,512,0,4,140,13.3,7,4,8,62,102400
15,11,8,512,0,4,46,15.6,7,6,12,67,56990
9,10,8,256,0,4,140,15.6,7,2,4,44,38499
3,16,16,512,0,4,121,14.0,20,12,16,65,85990
1,92,8,256,0,4,93,15.6,8,2,4,54,26990
9,10,8,256,1000,4,140,15.6,7,2,4,61,43990
9,29,8,256,0,4,93,14.0,3,2,2,50,25758
9,10,8,256,1000,4,123,15.6,7,2,4,61,40390
9,34,8,512,0,4,91,15.6,7,2,4,61,37990
6,64,8,512,0,4,100,15.6,7,4,8,63,40663
14,11,8,512,0,4,38,15.6,7,4,8,68,54451
1,13,64,2000,1000,4,9,17.3,27,8,16,97,432159
14,109,16,512,0,4,69,15.6,7,8,16,75,90700
14,10,8,512,0,4,140,14.0,7,2,4,48,37700
6,106,8,512,0,4,96,16.0,8,6,12,71,57990
9,18,16,1000,0,4,134,14.0,20,14,20,74,91990
6,18,16,1000,0,4,134,13.4,28,12,16,71,178500
3,18,32,1000,0,4,69,15.6,27,14,20,91,199990
6,18,16,512,0,4,37,15.6,7,14,20,76,169990
9,18,16,512,0,4,49,15.6,7,10,16,63,94699
9,10,8,512,0,4,123,15.6,7,2,4,55,41500
15,12,16,512,0,4,69,15.6,7,8,16,74,85990
14,11,16,512,0,4,134,14.0,20,4,8,62,71990
9,10,8,256,0,4,140,15.6,7,4,8,47,41890
14,15,8,512,0,4,155,15.6,7,6,8,50,43999
9,52,8,512,0,4,38,16.1,7,8,16,74,71990
14,10,8,256,1000,4,123,15.6,7,2,4,50,37000
